CATCHMENT,NETWORK,YEAR,YEAR,WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,EIP,2015-16,2015,40,Overall,Male,Overall,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,White,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Black,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Asian/Pacific Islander,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Overall,Overall,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,40,Overall,Overall,Overall,Influenza B,0,0,null,null
California,EIP,2015-16,2015,40,Overall,Female,Overall,Overall,0.1,0.1,null,null
California,EIP,2015-16,2015,40,Overall,Male,Overall,Overall,0.1,0.1,null,null
California,EIP,2015-16,2015,40,Overall,Overall,White,Overall,0.1,0.1,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Black,Overall,0,0,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Hispanic/Latino,Overall,0,0,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Asian/Pacific Islander,Overall,0.2,0.2,null,null
California,EIP,2015-16,2015,40,Overall,Overall,American Indian/Alaska Native,Overall,0,0,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Overall,Influenza B,0,0,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Overall,Overall,0.1,0.1,null,null
California,EIP,2015-16,2015,40,Overall,Overall,Overall,Influenza A,0.1,0.1,null,null
Entire Network,EIP,2015-16,2015,41,Overall,Overall,White,Overall,0.2,0.1,null,null
