time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2017-01-01,267.84665,21.866667,18.619999,16.613333,0.22733334,0.77333343,0.0,48.520004,0.0024333335,77.55334,152.26666,2.7533336
2017-01-08,260.1238,40.333332,18.141905,14.980952,0.100380965,4.2533336,3.7733333,52.46571,0.0016678094,56.537144,239.92378,5.8733335
2017-01-15,267.7533,43.866665,17.877144,15.784764,0.216,7.7000003,20.966667,51.88,0.002378857,57.349533,213.6762,5.58
2017-01-22,274.0181,26.2,19.381905,18.436192,0.14114286,5.0199995,53.566666,74.32762,0.0042925715,61.306664,172.84763,3.7066667
2017-01-29,270.73334,30.533333,19.168571,16.782856,0.12495239,5.14,2.1733334,71.95524,0.0030396192,77.63237,266.82858,5.1257143
2017-02-05,266.39713,46.933334,17.299047,12.45524,0.25714287,9.906666,0.74,40.133335,0.0017145715,97.22,265.09518,6.0095234
2017-02-12,268.94287,36.533333,18.47143,18.955238,0.2292381,8.553333,20.3,52.167625,0.0031053333,102.18762,216.66667,5.4419045
2017-02-19,273.5762,41.933334,17.370476,14.5,0.46380955,14.486666,0.0,41.17429,0.0033043807,134.22763,239.39047,4.7114286
2017-02-26,274.9705,41.533333,17.872381,17.764761,0.27257144,10.993333,14.313334,62.95238,0.0051898095,121.44477,204.83809,5.3
2017-03-05,272.43332,43.533333,17.761906,14.548572,0.26714283,11.533334,42.279995,52.19619,0.0037452383,133.48096,215.6857,5.8799996
2017-03-12,272.54193,53.733334,16.354286,11.1647625,0.42352378,17.626667,9.593334,33.47714,0.0026550477,178.33618,237.89525,6.800952
2017-03-19,270.46667,34.733334,15.900001,13.571427,0.2815238,11.78,17.96,47.785713,0.0026111428,150.01048,208.5714,4.7914286
2017-03-26,274.96857,39.333332,16.106667,15.250477,0.42914283,17.4,28.42,47.570477,0.0047378093,161.58002,131.33334,5.1600003
2017-04-02,276.12192,22.733334,19.685713,21.60381,0.17466666,10.226666,60.760002,73.569534,0.005008095,154.52287,110.095245,4.6590476
2017-04-09,278.94284,42.2,20.600952,16.43238,0.49714282,20.7,47.54667,54.0781,0.0047456184,174.11334,204.94287,6.322858
2017-04-16,280.50284,31.466667,19.87238,16.193335,0.56228566,25.066664,25.586666,50.90286,0.0069183805,227.43904,193.8762,5.448571
2017-04-23,279.29144,37.333332,18.678097,13.820002,0.6792381,27.106665,2.14,40.298096,0.005478857,265.5181,169.26666,4.51619
2017-04-30,280.8105,36.4,17.812382,15.189524,0.5260953,21.426664,93.433334,54.915237,0.0061624767,189.53714,135.19998,5.479048
2017-05-07,283.8457,31.266666,19.557142,17.085716,0.39866668,21.106668,5.0,72.24667,0.004738952,242.96288,157.7143,5.5828567
2017-05-14,290.21335,27.6,18.824762,15.092381,0.5693333,25.72,36.513332,83.94095,0.0061965715,268.9762,111.12381,3.337143
2017-05-21,296.7095,40.133335,18.541906,15.678094,0.8645714,34.306667,29.593334,88.557144,0.008910856,244.55716,154.67618,6.653333
2017-05-28,293.0,35.0,19.798096,17.310478,0.58676183,27.646666,33.34,86.82571,0.008048856,249.72287,128.2476,4.283809
2017-06-04,299.2238,36.733334,17.989527,11.071429,1.4152381,45.500004,0.040000003,63.242855,0.007362571,332.51718,242.06667,4.289523
2017-06-11,299.17908,53.266666,15.621905,10.33238,1.277143,46.913338,0.24666668,72.81809,0.009043904,345.90475,153.90475,5.5238094
2017-06-18,302.85712,40.333332,15.293333,13.42,1.025238,41.553337,29.646667,92.21523,0.013451619,305.48575,216.12381,4.6114287
2017-06-25,299.2276,35.2,15.722857,13.393332,1.1092381,39.52667,20.686668,77.88,0.009246857,284.16385,237.00949,4.6190476
2017-07-02,300.01712,37.8,15.673335,12.862856,1.1527617,41.92,18.573334,76.27524,0.010169619,303.92572,235.03807,4.914286
2017-07-09,300.7914,31.533333,15.139049,12.738094,1.0017143,38.659996,9.566667,82.42667,0.012433524,312.98,163.59048,3.0561905
2017-07-16,299.75998,25.266666,16.864761,17.26,0.57771426,32.013332,31.25333,94.7219,0.014168476,284.39905,211.1619,3.5352385
2017-07-23,302.11047,27.133333,18.565714,17.786669,0.8811428,36.739998,77.14666,90.171425,0.014354953,300.0229,125.56189,2.8990476
2017-07-30,299.07904,32.8,18.608572,14.124761,0.9659048,38.179996,1.12,76.00286,0.0114857135,316.18472,92.799995,4.095238
2017-08-06,299.49808,33.266666,17.576193,13.642858,0.99009526,31.833334,22.086668,79.60572,0.011151809,242.57524,190.18097,3.3990476
