time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2017-01-01,269.56573,9.550136,25.258408,20.629345,0.22352658,0.7567745,1.1848781,52.24297,0.0037140604,104.11978,234.6778,3.6998103
2017-01-08,270.23193,15.742865,25.535362,20.943819,0.24026316,5.5144243,55.74501,56.208645,0.0040180655,81.20733,177.59398,4.480159
2017-01-15,273.04584,18.572361,26.072039,19.996796,0.2934667,6.4695163,31.089275,54.818554,0.0041614245,97.52838,181.8337,4.235615
2017-01-22,271.91794,20.51151,24.633095,18.20256,0.30116704,6.5980387,50.19625,51.700916,0.0037063507,93.44398,183.12549,4.466816
2017-01-29,268.5595,24.447126,24.49365,17.8064,0.38384664,7.597791,3.6341138,39.588493,0.0028167753,123.849205,193.80142,3.109412
2017-02-05,274.76776,31.414608,20.879642,11.638571,0.5411465,9.619419,16.204655,39.332466,0.004052442,123.31153,173.1648,3.6185553
2017-02-12,277.48795,28.929089,20.891783,16.615105,0.44227415,9.982593,39.033226,51.467514,0.0055593853,115.619255,187.6984,4.850881
2017-02-19,275.95224,29.48835,20.363995,16.436737,0.5451152,11.102737,27.561474,42.472504,0.004358927,131.59781,164.71385,4.034249
2017-02-26,271.31702,23.418282,22.24801,20.171541,0.3691141,9.469204,20.295418,43.885586,0.0036268453,148.59425,215.46329,4.0518613
2017-03-05,271.7983,36.23512,20.12558,14.038287,0.5726454,13.3173485,10.087579,33.730873,0.0032829668,188.44835,194.38945,3.9342825
2017-03-12,276.0113,33.691162,18.490627,12.958377,0.8552805,15.662593,2.6906838,30.246906,0.004204054,200.04974,209.27168,2.942996
2017-03-19,280.10544,42.72927,16.249872,10.905045,1.2212027,20.430805,2.331725,26.14793,0.0049537346,217.73135,195.58162,2.9210835
2017-03-26,277.25058,41.702087,16.31266,14.221599,0.6788751,16.360619,22.352278,39.9088,0.004741282,191.12541,217.95476,4.1229024
2017-04-02,276.38208,50.94184,16.387665,13.464834,0.81621635,20.548937,5.2316737,31.874327,0.004302327,244.1165,249.7829,4.6324525
2017-04-09,276.71115,51.50454,15.509173,12.266664,0.85506546,20.32434,17.69037,31.454727,0.0041280976,243.06624,199.70564,4.558535
2017-04-16,276.54587,47.97396,15.521016,12.58206,0.9176952,21.309689,9.692997,29.265306,0.0040178313,253.40164,201.51193,3.8849685
2017-04-23,278.9463,48.116135,15.569536,12.8832,0.9957823,23.530748,8.994639,31.969606,0.004989896,269.09152,217.25624,3.7679496
2017-04-30,278.15762,55.761158,14.791147,11.590459,0.96742296,24.413519,4.2346244,30.316608,0.004513777,273.4332,252.04173,4.637677
2017-05-07,294.86032,58.08752,13.339621,10.003629,1.3607845,29.054703,3.1063657,67.68443,0.005988838,306.15063,198.28273,3.935862
2017-05-14,294.25507,57.11859,12.9460745,11.444957,1.0372739,27.04993,1.4748572,77.848625,0.005479604,318.56494,220.39748,3.776794
2017-05-21,294.3636,52.49675,12.698875,11.047922,1.190006,26.982468,3.4222133,72.419075,0.004967038,316.26862,227.54012,3.627276
2017-05-28,300.2575,61.480442,11.486364,8.56527,1.7644031,33.813007,0.09370465,65.08157,0.005618173,341.9503,192.40201,3.1598244
2017-06-04,301.23666,60.947315,10.619362,8.502905,1.831845,34.34229,0.59551364,64.51688,0.0060926955,328.21124,208.44194,3.3007424
2017-06-11,298.85437,70.84791,10.046413,8.771228,1.6392195,34.15494,4.2722554,66.79117,0.005802693,319.62057,224.86174,4.3256197
2017-06-18,301.54785,63.317448,10.429672,9.680497,1.9709129,34.347775,2.5994768,66.49842,0.0064129843,333.87012,232.68051,3.5115948
2017-06-25,308.45026,66.99951,9.440199,7.08472,2.9997034,42.154068,0.17864087,55.937256,0.007625462,341.15448,188.02277,3.273936
2017-07-02,304.87277,73.87173,8.537338,6.52424,2.4651074,40.265064,0.036253788,54.05309,0.0059213173,347.87177,223.97723,3.4422147
2017-07-09,307.88492,69.252785,7.889116,6.3399606,2.925982,39.733513,0.31691152,52.65786,0.00706917,330.46387,217.98123,2.907776
2017-07-16,306.98752,65.99342,7.559281,6.7686234,2.6714542,38.92256,0.31554285,56.679394,0.0076805144,328.71387,221.05923,3.0070095
2017-07-23,306.42978,70.51121,7.3012776,6.67347,2.6173084,39.349957,0.5849397,54.402885,0.0071642813,326.9412,210.49387,3.2687132
2017-07-30,305.52997,59.06614,7.9946856,8.735096,2.269027,34.752842,4.482293,65.44492,0.008710461,308.15396,192.8928,2.783823
2017-08-06,306.6319,62.47127,8.042703,7.806556,2.5200074,35.12548,3.5395849,60.17562,0.008713784,288.90527,191.36102,2.8331618
2017-08-13,304.82785,62.319435,8.598375,8.863904,2.2392395,35.07805,1.4400163,64.830086,0.007888264,298.69507,204.35066,3.1921816
