time,air_temperature,burning_index_g,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,mean_vapor_pressure_deficit,potential_evapotranspiration,precipitation_amount,relative_humidity,specific_humidity,surface_downwelling_shortwave_flux_in_air,wind_from_direction,wind_speed
2015-01-04,279.32605,46.875,19.510416,18.075003,0.29749998,6.0958333,17.675001,43.27292,0.002618333,45.33021,179.34375,7.4406257
2015-01-11,267.08273,41.708332,20.551786,19.652977,0.10124999,4.4083333,7.533333,59.903576,0.0014305357,61.207745,254.03572,8.789882
2015-01-18,272.08334,31.583334,20.722025,19.85119,0.13404761,4.775,7.2000003,51.39345,0.0018110713,81.87738,175.0,5.2625003
2015-01-25,271.15176,27.541666,20.469643,19.850595,0.07458333,2.7916667,0.0,68.235115,0.0022219643,103.88333,251.80357,4.1749997
2015-02-01,269.5994,27.541666,21.260714,21.279762,0.093273796,3.9458332,24.237501,55.75417,0.0016161309,97.03512,212.03572,5.3339286
2015-02-08,269.4137,28.708334,22.401785,20.84881,0.10839286,4.6375003,17.966667,56.13512,0.0016531547,83.488686,207.98213,5.386905
2015-02-15,266.84286,30.583334,22.53393,19.990477,0.0810119,3.7833335,14.975001,57.8875,0.0014288096,108.99583,217.28572,5.0113096
2015-02-22,265.04642,30.25,22.282738,19.882738,0.07386904,3.75,8.729167,50.287502,0.0011287499,140.4643,209.85713,4.795238
2015-03-01,266.19046,26.416666,21.770834,19.425001,0.101369046,4.85,2.6916668,51.77917,0.0011398214,151.01013,223.875,4.2559524
2015-03-08,272.19702,27.458334,21.354166,19.110119,0.13952382,7.066667,10.366667,53.835712,0.0019324999,167.2756,247.25,5.070833
2015-03-15,279.8351,38.916668,19.491072,13.800595,0.34166667,13.662501,2.5833335,43.49345,0.0026858926,193.37859,189.94643,4.607143
2015-03-22,277.13928,43.75,18.014883,14.350001,0.26244047,11.154167,3.6708336,46.87857,0.002453869,159.3631,224.98213,5.1255956
2015-03-29,275.83395,37.041668,17.34524,14.584523,0.24654762,11.704166,12.745833,47.17857,0.002231488,193.22917,227.64287,4.176191
2015-04-05,282.28928,42.625,17.193453,14.542857,0.4188095,17.375,14.770833,46.17143,0.0033424404,197.65894,213.25,4.8559527
2015-04-12,285.44165,42.791668,17.954168,15.854762,0.4440476,19.5,18.854168,47.36429,0.004266071,209.9762,142.01787,5.558929
2015-04-19,292.6113,37.75,17.85238,14.264285,0.86422616,31.408333,18.362501,31.46012,0.004641012,295.09763,189.0893,4.130953
2015-04-26,283.52856,43.666668,18.31131,15.193452,0.40785715,19.933334,20.241667,47.749405,0.0038988094,225.6756,240.96428,5.9
2015-05-03,288.58868,42.125,16.356548,11.595833,0.8267856,33.720837,0.1,46.86012,0.0052696425,279.48276,269.64285,3.922619
2015-05-10,287.13867,39.833332,14.556548,10.376191,1.3331548,48.833332,13.320834,72.19584,0.008130595,310.7381,142.25,2.876786
2015-05-17,284.6744,38.083332,16.216667,15.102977,0.71023816,33.5,19.858332,78.77143,0.008096845,269.41013,179.08928,3.5946429
2015-05-24,282.31845,48.333332,15.044047,11.933333,0.86785716,44.375,0.36666667,69.85357,0.0064249993,338.1357,239.75,4.382738
2015-05-31,287.88928,39.541668,15.083335,13.982142,0.9919643,46.050003,68.166664,83.30179,0.01032006,294.20358,164.69643,4.211905
2015-06-07,283.8119,30.208334,18.087502,17.56488,0.72101194,36.570835,33.37917,82.79821,0.0078110113,293.15356,168.94643,3.0363095
2015-06-14,288.88217,20.041666,20.332739,18.731548,0.69654757,37.008335,46.42917,90.00655,0.011073213,266.23987,199.26787,3.3857143
2015-06-21,288.42798,26.291666,20.602976,16.257143,0.66517854,37.570835,7.2875,89.40774,0.011294226,302.83752,152.80357,2.6785715
2015-06-28,287.95596,34.0,19.051191,14.557738,0.75660723,39.825,42.25417,83.446434,0.0099546425,281.70776,188.32143,4.0190477
2015-07-05,287.7095,28.125,19.555357,15.4339285,0.8382142,40.316666,16.183334,82.48095,0.009414702,292.80716,212.44641,2.8625002
2015-07-12,289.2911,29.583334,18.540476,14.848213,0.8541667,42.149998,11.3625,87.9625,0.011242024,315.11966,204.01787,2.8630953
2015-07-19,289.84167,31.416666,18.12024,15.220833,0.75684524,39.75,38.729168,87.12084,0.01232875,304.88986,155.28572,3.2369049
2015-07-26,288.91846,35.291668,17.882143,14.860715,0.9004167,45.3625,4.2125,90.469055,0.0111095235,329.59702,262.0893,3.3619049
2015-08-02,291.9851,36.416668,16.820833,13.407738,1.2470237,49.42917,6.5875,82.936905,0.012135714,329.86368,209.3393,2.977381
2015-08-09,287.17917,32.5,16.89762,15.304166,0.7422619,36.716667,9.7625,94.955956,0.010175713,270.1887,232.78572,3.1488094
2015-08-16,290.68274,33.333332,17.812502,16.266668,0.9195238,40.46667,49.62917,85.4,0.011596191,285.00714,222.19641,3.1702383
2015-08-23,291.32263,32.75,18.015478,15.8125,0.9076786,38.508335,37.754166,87.267265,0.012506786,276.25122,159.85713,3.2565477
2015-08-30,288.13928,31.083334,17.49881,14.588097,0.69726187,30.1875,0.029166669,86.56726,0.00989857,213.43573,217.66072,3.2583334
