CATCHMENT;NETWORK;YEAR;YEAR2;WEEK;AGE CATEGORY;SEX CATEGORY;RACE CATEGORY;VIRUS TYPE CATEGORY;CUMULATIVE RATE;WEEKLY RATE;WEEKLY POPULATION RATE
New York - Rochester;EIP;2014-15;2015;1;Overall;Overall;Overall;Overall;86;12.6;26.28486
New York - Rochester;EIP;2014-15;2015;2;Overall;Overall;Overall;Overall;93.5;7.4;15.43714
New York - Rochester;EIP;2014-15;2015;3;Overall;Overall;Overall;Overall;99.3;5.8;12.09938
New York - Rochester;EIP;2014-15;2015;4;Overall;Overall;Overall;Overall;103.5;4.2;8.76162
New York - Rochester;EIP;2014-15;2015;5;Overall;Overall;Overall;Overall;107.3;3.9;8.13579
New York - Rochester;EIP;2014-15;2015;6;Overall;Overall;Overall;Overall;109.7;2.4;5.00664
New York - Rochester;EIP;2014-15;2015;7;Overall;Overall;Overall;Overall;112;2.4;5.00664
New York - Rochester;EIP;2014-15;2015;8;Overall;Overall;Overall;Overall;115;3;6.2583
New York - Rochester;EIP;2014-15;2015;9;Overall;Overall;Overall;Overall;117;2;4.1722
New York - Rochester;EIP;2014-15;2015;10;Overall;Overall;Overall;Overall;119.4;2.4;5.00664
New York - Rochester;EIP;2014-15;2015;11;Overall;Overall;Overall;Overall;122;2.6;5.42386
New York - Rochester;EIP;2014-15;2015;12;Overall;Overall;Overall;Overall;125.1;3.1;6.46691
New York - Rochester;EIP;2014-15;2015;13;Overall;Overall;Overall;Overall;129.3;4.2;8.76162
New York - Rochester;EIP;2014-15;2015;14;Overall;Overall;Overall;Overall;132.6;3.3;6.88413
New York - Rochester;EIP;2014-15;2015;15;Overall;Overall;Overall;Overall;135.4;2.8;5.84108
New York - Rochester;EIP;2014-15;2015;16;Overall;Overall;Overall;Overall;137.1;1.7;3.54637
New York - Rochester;EIP;2014-15;2015;17;Overall;Overall;Overall;Overall;137.9;0.9;1.87749
New York - Rochester;EIP;2015-16;2015;40;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;41;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;42;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;43;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;44;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;45;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;46;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2015-16;2015;47;Overall;Overall;Overall;Overall;0.4;0.4;0.83444
New York - Rochester;EIP;2015-16;2015;48;Overall;Overall;Overall;Overall;0.5;0.1;0.20861
New York - Rochester;EIP;2015-16;2015;49;Overall;Overall;Overall;Overall;0.6;0.1;0.20861
New York - Rochester;EIP;2015-16;2015;50;Overall;Overall;Overall;Overall;1;0.4;0.83444
New York - Rochester;EIP;2015-16;2015;51;Overall;Overall;Overall;Overall;1.2;0.3;0.62583
New York - Rochester;EIP;2015-16;2015;52;Overall;Overall;Overall;Overall;1.2;0;0
New York - Rochester;EIP;2015-16;2016;1;Overall;Overall;Overall;Overall;1.4;0.2;0.415474
New York - Rochester;EIP;2015-16;2016;2;Overall;Overall;Overall;Overall;1.9;0.5;1.038685
New York - Rochester;EIP;2015-16;2016;3;Overall;Overall;Overall;Overall;2.2;0.3;0.623211
New York - Rochester;EIP;2015-16;2016;4;Overall;Overall;Overall;Overall;3.1;0.9;1.869633
New York - Rochester;EIP;2015-16;2016;5;Overall;Overall;Overall;Overall;4;1;2.07737
New York - Rochester;EIP;2015-16;2016;6;Overall;Overall;Overall;Overall;5.5;1.5;3.116055
New York - Rochester;EIP;2015-16;2016;7;Overall;Overall;Overall;Overall;7.8;2.3;4.777951
New York - Rochester;EIP;2015-16;2016;8;Overall;Overall;Overall;Overall;11.1;3.3;6.855321
New York - Rochester;EIP;2015-16;2016;9;Overall;Overall;Overall;Overall;16.8;5.7;11.841009
New York - Rochester;EIP;2015-16;2016;10;Overall;Overall;Overall;Overall;25.4;8.6;17.865382
New York - Rochester;EIP;2015-16;2016;11;Overall;Overall;Overall;Overall;35.8;10.3;21.396911
New York - Rochester;EIP;2015-16;2016;12;Overall;Overall;Overall;Overall;45.2;9.5;19.735015
New York - Rochester;EIP;2015-16;2016;13;Overall;Overall;Overall;Overall;52.1;6.8;14.126116
New York - Rochester;EIP;2015-16;2016;14;Overall;Overall;Overall;Overall;57.6;5.5;11.425535
New York - Rochester;EIP;2015-16;2016;15;Overall;Overall;Overall;Overall;59.6;2;4.15474
New York - Rochester;EIP;2015-16;2016;16;Overall;Overall;Overall;Overall;62.1;2.5;5.193425
New York - Rochester;EIP;2015-16;2016;17;Overall;Overall;Overall;Overall;63.6;1.5;3.116055
New York - Rochester;EIP;2016-17;2016;40;Overall;Overall;Overall;Overall;0.1;0.1;0.207737
New York - Rochester;EIP;2016-17;2016;41;Overall;Overall;Overall;Overall;0.3;0.2;0.415474
New York - Rochester;EIP;2016-17;2016;42;Overall;Overall;Overall;Overall;0.4;0.1;0.207737
New York - Rochester;EIP;2016-17;2016;43;Overall;Overall;Overall;Overall;0.5;0.2;0.415474
New York - Rochester;EIP;2016-17;2016;44;Overall;Overall;Overall;Overall;0.5;0;0
New York - Rochester;EIP;2016-17;2016;45;Overall;Overall;Overall;Overall;0.6;0.1;0.207737
New York - Rochester;EIP;2016-17;2016;46;Overall;Overall;Overall;Overall;0.7;0.1;0.207737
New York - Rochester;EIP;2016-17;2016;47;Overall;Overall;Overall;Overall;0.7;0;0
New York - Rochester;EIP;2016-17;2016;48;Overall;Overall;Overall;Overall;0.7;0;0
New York - Rochester;EIP;2016-17;2016;49;Overall;Overall;Overall;Overall;1.1;0.4;0.830948
New York - Rochester;EIP;2016-17;2016;50;Overall;Overall;Overall;Overall;1.5;0.4;0.830948
New York - Rochester;EIP;2016-17;2016;51;Overall;Overall;Overall;Overall;2.5;1.1;2.285107
New York - Rochester;EIP;2016-17;2016;52;Overall;Overall;Overall;Overall;6.4;3.9;8.101743
New York - Rochester;EIP;2016-17;2017;1;Overall;Overall;Overall;Overall;9.4;3;6.19806
New York - Rochester;EIP;2016-17;2017;2;Overall;Overall;Overall;Overall;12.4;3;6.19806
New York - Rochester;EIP;2016-17;2017;3;Overall;Overall;Overall;Overall;16.5;4.1;8.470682
New York - Rochester;EIP;2016-17;2017;4;Overall;Overall;Overall;Overall;20.4;3.9;8.057478
New York - Rochester;EIP;2016-17;2017;5;Overall;Overall;Overall;Overall;25.1;4.7;9.710294
New York - Rochester;EIP;2016-17;2017;6;Overall;Overall;Overall;Overall;31;5.9;12.189518
New York - Rochester;EIP;2016-17;2017;7;Overall;Overall;Overall;Overall;39.9;8.9;18.387578
New York - Rochester;EIP;2016-17;2017;8;Overall;Overall;Overall;Overall;49.2;9.3;19.213986
New York - Rochester;EIP;2016-17;2017;9;Overall;Overall;Overall;Overall;53.3;4;8.26408
New York - Rochester;EIP;2016-17;2017;10;Overall;Overall;Overall;Overall;56.4;3.1;6.404662
New York - Rochester;EIP;2016-17;2017;11;Overall;Overall;Overall;Overall;59;2.6;5.371652
New York - Rochester;EIP;2016-17;2017;12;Overall;Overall;Overall;Overall;61.6;2.6;5.371652
New York - Rochester;EIP;2016-17;2017;13;Overall;Overall;Overall;Overall;64.3;2.6;5.371652
New York - Rochester;EIP;2016-17;2017;14;Overall;Overall;Overall;Overall;66.5;2.2;4.545244
New York - Rochester;EIP;2016-17;2017;15;Overall;Overall;Overall;Overall;69.2;2.7;5.578254
New York - Rochester;EIP;2016-17;2017;16;Overall;Overall;Overall;Overall;70.6;1.4;2.892428
New York - Rochester;EIP;2016-17;2017;17;Overall;Overall;Overall;Overall;71.8;1.2;2.479224
New York - Rochester;EIP;2017-18;2017;40;Overall;Overall;Overall;Overall;0.3;0.3;0.619806
New York - Rochester;EIP;2017-18;2017;41;Overall;Overall;Overall;Overall;0.3;0;0
New York - Rochester;EIP;2017-18;2017;42;Overall;Overall;Overall;Overall;0.4;0.1;0.206602
New York - Rochester;EIP;2017-18;2017;43;Overall;Overall;Overall;Overall;0.4;0.1;0.206602
New York - Rochester;EIP;2017-18;2017;44;Overall;Overall;Overall;Overall;0.4;0;0
New York - Rochester;EIP;2017-18;2017;45;Overall;Overall;Overall;Overall;0.4;0;0
New York - Rochester;EIP;2017-18;2017;46;Overall;Overall;Overall;Overall;0.7;0.3;0.619806
New York - Rochester;EIP;2017-18;2017;47;Overall;Overall;Overall;Overall;1.1;0.4;0.826408
New York - Rochester;EIP;2017-18;2017;48;Overall;Overall;Overall;Overall;1.8;0.8;1.652816
New York - Rochester;EIP;2017-18;2017;49;Overall;Overall;Overall;Overall;3.3;1.4;2.892428
New York - Rochester;EIP;2017-18;2017;50;Overall;Overall;Overall;Overall;6.7;3.4;7.024468
New York - Rochester;EIP;2017-18;2017;51;Overall;Overall;Overall;Overall;13.7;7;14.46214
New York - Rochester;EIP;2017-18;2017;52;Overall;Overall;Overall;Overall;21.7;8;16.52816
New York - Rochester;EIP;2017-18;2018;1;Overall;Overall;Overall;Overall;33.7;12;24.75624
New York - Rochester;EIP;2017-18;2018;2;Overall;Overall;Overall;Overall;46.8;13.1;27.025562
New York - Rochester;EIP;2017-18;2018;3;Overall;Overall;Overall;Overall;58;11.2;23.105824
New York - Rochester;EIP;2017-18;2018;4;Overall;Overall;Overall;Overall;73.2;15.2;31.357904
New York - Rochester;EIP;2017-18;2018;5;Overall;Overall;Overall;Overall;87.3;14.1;29.088582
New York - Rochester;EIP;2017-18;2018;6;Overall;Overall;Overall;Overall;99.7;12.4;25.581448
New York - Rochester;EIP;2017-18;2018;7;Overall;Overall;Overall;Overall;111.5;11.7;24.137334
New York - Rochester;EIP;2017-18;2018;8;Overall;Overall;Overall;Overall;120.6;9.2;18.979784
New York - Rochester;EIP;2017-18;2018;9;Overall;Overall;Overall;Overall;128.5;7.9;16.297858
New York - Rochester;EIP;2017-18;2018;10;Overall;Overall;Overall;Overall;133.9;5.4;11.140308
New York - Rochester;EIP;2017-18;2018;11;Overall;Overall;Overall;Overall;139.7;5.8;11.965516
New York - Rochester;EIP;2017-18;2018;12;Overall;Overall;Overall;Overall;145.2;5.5;11.34661
New York - Rochester;EIP;2017-18;2018;13;Overall;Overall;Overall;Overall;152.8;7.7;15.885254
New York - Rochester;EIP;2017-18;2018;14;Overall;Overall;Overall;Overall;160.1;7.3;15.060046
New York - Rochester;EIP;2017-18;2018;15;Overall;Overall;Overall;Overall;164.7;4.6;9.489892
New York - Rochester;EIP;2017-18;2018;16;Overall;Overall;Overall;Overall;169;4.3;8.870986
New York - Rochester;EIP;2017-18;2018;17;Overall;Overall;Overall;Overall;172.5;3.5;7.22057
New York - Rochester;EIP;2018-19;2018;40;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2018-19;2018;41;Overall;Overall;Overall;Overall;0;0;0
New York - Rochester;EIP;2018-19;2018;42;Overall;Overall;Overall;Overall;0.1;0.1;0.206302
New York - Rochester;EIP;2018-19;2018;43;Overall;Overall;Overall;Overall;0.1;0;0
New York - Rochester;EIP;2018-19;2018;44;Overall;Overall;Overall;Overall;0.1;0;0
New York - Rochester;EIP;2018-19;2018;45;Overall;Overall;Overall;Overall;0.1;0;0
New York - Rochester;EIP;2018-19;2018;46;Overall;Overall;Overall;Overall;0.2;0.1;0.206302
New York - Rochester;EIP;2018-19;2018;47;Overall;Overall;Overall;Overall;0.4;0.2;0.412604
New York - Rochester;EIP;2018-19;2018;48;Overall;Overall;Overall;Overall;0.6;0.3;0.618906
New York - Rochester;EIP;2018-19;2018;49;Overall;Overall;Overall;Overall;0.8;0.2;0.412604
New York - Rochester;EIP;2018-19;2018;50;Overall;Overall;Overall;Overall;1;0.2;0.412604
New York - Rochester;EIP;2018-19;2018;51;Overall;Overall;Overall;Overall;1.4;0.4;0.825208
New York - Rochester;EIP;2018-19;2018;52;Overall;Overall;Overall;Overall;2.7;1.3;2.681926
New York - Rochester;EIP;2018-19;2019;1;Overall;Overall;Overall;Overall;5;2.2;4.528898
New York - Rochester;EIP;2018-19;2019;2;Overall;Overall;Overall;Overall;8.2;3.2;6.587488
New York - Rochester;EIP;2018-19;2019;3;Overall;Overall;Overall;Overall;11.3;3.1;6.381629
New York - Rochester;EIP;2018-19;2019;4;Overall;Overall;Overall;Overall;14.4;3.2;6.587488
New York - Rochester;EIP;2018-19;2019;5;Overall;Overall;Overall;Overall;19.6;5.1;10.498809
New York - Rochester;EIP;2018-19;2019;6;Overall;Overall;Overall;Overall;26.3;6.7;13.792553
New York - Rochester;EIP;2018-19;2019;7;Overall;Overall;Overall;Overall;36;9.7;19.968323
New York - Rochester;EIP;2018-19;2019;8;Overall;Overall;Overall;Overall;47.8;11.9;24.497221
New York - Rochester;EIP;2018-19;2019;9;Overall;Overall;Overall;Overall;60.1;12.2;25.114798
New York - Rochester;EIP;2018-19;2019;10;Overall;Overall;Overall;Overall;70.1;10;20.5859
New York - Rochester;EIP;2018-19;2019;11;Overall;Overall;Overall;Overall;82.5;12.4;25.526516
New York - Rochester;EIP;2018-19;2019;12;Overall;Overall;Overall;Overall;94.8;12.3;25.320657
New York - Rochester;EIP;2018-19;2019;13;Overall;Overall;Overall;Overall;105.3;10.5;21.615195
New York - Rochester;EIP;2018-19;2019;14;Overall;Overall;Overall;Overall;115.8;10.5;21.615195
New York - Rochester;EIP;2018-19;2019;15;Overall;Overall;Overall;Overall;124.1;8.3;17.086297
New York - Rochester;EIP;2018-19;2019;16;Overall;Overall;Overall;Overall;128.4;4.3;8.851937
New York - Rochester;EIP;2018-19;2019;17;Overall;Overall;Overall;Overall;131.3;2.9;5.969911
New York - Rochester;EIP;2019-20;2019;40;Overall;Overall;Overall;Overall;0.2;0.2;0.411718
New York - Rochester;EIP;2019-20;2019;41;Overall;Overall;Overall;Overall;0.4;0.2;0.411718
New York - Rochester;EIP;2019-20;2019;42;Overall;Overall;Overall;Overall;0.5;0.2;0.411718
New York - Rochester;EIP;2019-20;2019;43;Overall;Overall;Overall;Overall;0.6;0.1;0.205859
New York - Rochester;EIP;2019-20;2019;44;Overall;Overall;Overall;Overall;0.7;0.1;0.205859
New York - Rochester;EIP;2019-20;2019;45;Overall;Overall;Overall;Overall;0.7;0;0
